model,opacity_stratum,n_files,n_events,n_repos,event_rate,mean_score,calibration_gap,absolute_error_mean,brier_score,brier_reliability,ece,roc_auc,average_precision
baseline_history,overall,5980,5980,6,0.0071906354515050164,0.009923805945426618,0.0027331704939216016,0.016635137415102724,0.0071872115056361985,2.5026985193933087e-05,0.003479706767843908,0.8749466295325726,0.03658883837086485
baseline_history,Q1,598,598,6,0.01839464882943144,0.022734749765878706,0.0043401009364472665,0.03990248476388582,0.018726957110113563,0.000609999672801047,0.014817449027228792,0.7825615610964844,0.04666914171137793
baseline_history,Q2,598,598,6,0.011705685618729096,0.02059294810151554,0.008887262482786443,0.030952658989523384,0.011766982245537346,0.00037413858405892285,0.014615870677712351,0.719361856417694,0.05939990362773884
baseline_history,Q3,598,598,6,0.016722408026755852,0.019352525952521706,0.002630117925765854,0.035358083441458035,0.017125254557075684,0.0008957862101449449,0.01828906551018541,0.6761904761904761,0.028522026684684423
baseline_history,Q4,598,598,6,0.008361204013377926,0.011355387738028723,0.002994183724650797,0.01881094511000884,0.00785661264494461,3.05249763690818e-05,0.0049602409766473,0.9025295109612143,0.14285209586896877
baseline_history,Q5,598,598,6,0.006688963210702341,0.008647830259746383,0.001958867049044042,0.014986869575530243,0.006502947935249687,6.0353005622346253e-05,0.005994804421444232,0.9318181818181819,0.06989743764481396
baseline_history,Q6,598,598,5,0.0033444816053511705,0.005810107937841836,0.002465626332490666,0.009063921719375844,0.003311290937693365,1.936172016828223e-05,0.0038742711949758617,0.901006711409396,0.034900990099009904
baseline_history,Q7,598,598,6,0.0016722408026755853,0.004268101808221464,0.0025958610055458794,0.005893696239553348,0.001655069462757243,1.4173869677175249e-05,0.003452384249599388,0.9731993299832495,0.058823529411764705
baseline_history,Q8,598,598,6,0.0016722408026755853,0.0026952745461829132,0.001023033743507328,0.004316839271284263,0.0016321944829695326,1.4459791654469868e-05,0.0029720518182734575,0.9983249581239532,0.5
baseline_history,Q9,598,598,6,0.0033444816053511705,0.002273432792760359,-0.0010710488125908117,0.005558174488838958,0.003292208419734863,8.200565036237056e-05,0.004535083903432987,0.9899328859060402,0.19444444444444442
baseline_history,Q10,598,598,6,0.0,0.001507700551568534,0.001507700551568534,0.001507700551568534,2.5972602860837587e-06,2.5602690225099337e-06,0.001507700551568534,,
baseline_history_plus_structure,overall,5980,5980,6,0.0071906354515050164,0.010144873110616926,0.0029542376591119093,0.01681671637082694,0.007215562335400562,3.6264773655648934e-05,0.003280675295006975,0.8714682460407926,0.036561879250961396
baseline_history_plus_structure,Q1,598,598,6,0.01839464882943144,0.025884620626807776,0.007489971797376337,0.04277891173845714,0.018864205716335687,0.0011852557993447502,0.019889310163953344,0.7935573795880441,0.048388576056971354
baseline_history_plus_structure,Q2,598,598,6,0.011705685618729096,0.02213761035082981,0.010431924732100716,0.03249388350406036,0.011964058578784706,0.0004669498801990406,0.016183056285484314,0.7174280879864637,0.056668204899952584
baseline_history_plus_structure,Q3,598,598,6,0.016722408026755852,0.020055898806521526,0.0033334907797656736,0.036014820682081256,0.017124387333153714,0.000938372800806544,0.019683254312682894,0.6785714285714286,0.02887922455217851
baseline_history_plus_structure,Q4,598,598,6,0.008361204013377926,0.01149666214925616,0.0031354581358782347,0.018785140588699213,0.007728349627533068,6.228037680280424e-05,0.006759760708065843,0.9200674536256325,0.15183008179384402
baseline_history_plus_structure,Q5,598,598,6,0.006688963210702341,0.008365436424003624,0.0016764732133012833,0.014757892701445167,0.006561748780652473,5.499660744159693e-05,0.005647654962847527,0.9191919191919192,0.04736656348609117
baseline_history_plus_structure,Q6,598,598,5,0.0033444816053511705,0.0052594385646014714,0.001914956959250301,0.00851797722319617,0.003308673789863643,1.7594618774064323e-05,0.003512347124902782,0.9001677852348993,0.03893557422969188
baseline_history_plus_structure,Q7,598,598,6,0.0016722408026755853,0.0036140722101447504,0.0019418314074691652,0.005245477153151887,0.0016546959936725965,1.156903400946667e-05,0.0030474796601938094,0.9681742043551089,0.05
baseline_history_plus_structure,Q8,598,598,6,0.0016722408026755853,0.002073321292034603,0.0004010804893590178,0.003708655663887711,0.001641829268411344,1.545459127549141e-05,0.002644662801945227,0.998324958123953,0.5
baseline_history_plus_structure,Q9,598,598,6,0.0033444816053511705,0.0016048522287979725,-0.001739629376553198,0.0049075860001189684,0.003306614511633037,8.838762711649048e-05,0.004155035092034863,0.9874161073825503,0.16233766233766234
baseline_history_plus_structure,Q10,598,598,6,0.0,0.0009568184531715638,0.0009568184531715638,0.0009568184531715638,1.0597539653624276e-06,1.0444121159421477e-06,0.0009568184531715638,,
baseline_plus_composite,overall,5980,5980,6,0.0071906354515050164,0.010627790744618898,0.003437155293113881,0.017292320942681603,0.007177600706391783,3.325964758828999e-05,0.003927255712631976,0.8745901735666357,0.041048055505402636
baseline_plus_composite,Q1,598,598,6,0.01839464882943144,0.02128432193942891,0.002889673109997472,0.03853730011417786,0.018670367477174116,0.00101273992093705,0.02017018546157855,0.7834907851943627,0.04630100126696709
baseline_plus_composite,Q2,598,598,6,0.011705685618729096,0.021328921595872914,0.009623235977143818,0.03163512720228535,0.011806667293166345,0.0004166847230645497,0.015329350846729957,0.7179115300942712,0.06087179169689859
baseline_plus_composite,Q3,598,598,6,0.016722408026755852,0.020784014990386446,0.004061606963630594,0.03674292522004046,0.017265103076517872,0.00108780031598448,0.022039119019749726,0.673469387755102,0.028271703017742955
baseline_plus_composite,Q4,598,598,6,0.008361204013377926,0.012601499238973546,0.00424029522559562,0.019680976861649244,0.007624421426595287,3.1959919251296045e-05,0.004805921772851004,0.9018549747048904,0.24189530142317542
baseline_plus_composite,Q5,598,598,6,0.006688963210702341,0.00964497922740288,0.002956016016700538,0.01596019094345743,0.006520576995419611,5.429456030394852e-05,0.005991523585537752,0.9284511784511784,0.05893578070460149
baseline_plus_composite,Q6,598,598,5,0.0033444816053511705,0.0066875731227381665,0.003343091517386996,0.009926734453962168,0.003315885270310195,2.325948558268502e-05,0.004445079136924632,0.8993288590604027,0.03361344537815126
baseline_plus_composite,Q7,598,598,6,0.0016722408026755853,0.005103909278715782,0.0034316684760401965,0.006721219256635974,0.0016602969474237583,1.7905758919828404e-05,0.003775305801918431,0.9698492462311558,0.05263157894736842
baseline_plus_composite,Q8,598,598,6,0.0016722408026755853,0.003393400583458685,0.0017211597807830997,0.005000895572652452,0.0016243214119429008,1.4183353502205833e-05,0.00330685844394167,0.998324958123953,0.5
baseline_plus_composite,Q9,598,598,6,0.0033444816053511705,0.0030599631826316825,-0.000284518422719488,0.0063285155153751695,0.0032819507401028653,7.471316770416296e-05,0.004939403224876718,0.9882550335570469,0.17142857142857143
baseline_plus_composite,Q10,598,598,6,0.0,0.0023893242865799615,0.0023893242865799615,0.0023893242865799615,6.416425264875924e-06,6.321182542772814e-06,0.0023893242865799615,,
baseline_size,overall,5980,5980,6,0.0071906354515050164,0.008087365494791974,0.0008967300432869574,0.014869647329419722,0.0069705896324441215,1.012077629420979e-05,0.002639391383396828,0.8251877269468959,0.06700987979399141
baseline_size,Q1,598,598,6,0.01839464882943144,0.022008950519987337,0.0036143016905558975,0.0390970370383686,0.01788219480630231,0.00017427150214011623,0.01062494039636146,0.7379588043983274,0.05177336810245001
baseline_size,Q2,598,598,6,0.011705685618729096,0.015884931055344165,0.004179245436615069,0.026695334335418732,0.01124940664349528,0.00012044851122554007,0.009223886215674517,0.8085569253081942,0.0933602747944009
baseline_size,Q3,598,598,6,0.016722408026755852,0.013621541521664763,-0.0031008665050910895,0.029602802119909545,0.016303707883690184,0.0002205053525948643,0.012354975671606507,0.744047619047619,0.050182226026469254
baseline_size,Q4,598,598,6,0.008361204013377926,0.009336013312689663,0.000974809299311737,0.016768270018856793,0.007628762119832336,8.590521827371808e-05,0.006996834068807122,0.8974704890387859,0.24526024978056957
baseline_size,Q5,598,598,6,0.006688963210702341,0.00687662913203155,0.00018766592132920916,0.013452703087192779,0.006648025728180323,0.00015519204476577143,0.009529404706484997,0.5580808080808081,0.021819684063085824
baseline_size,Q6,598,598,5,0.0033444816053511705,0.005039701910528785,0.0016952203051776144,0.008326420798923791,0.0033207417279402032,2.4516120716991566e-05,0.004541286540485407,0.902265100671141,0.024614919963757174
baseline_size,Q7,598,598,6,0.0016722408026755853,0.0034451624469690194,0.0017729216442934341,0.005099369523294569,0.0016697020180304822,2.528084397857584e-05,0.004055484172223814,0.8710217755443886,0.01282051282051282
baseline_size,Q8,598,598,6,0.0016722408026755853,0.002160641244964534,0.0004884004422889487,0.0038238170298984667,0.00166900649493157,2.317441408768689e-05,0.003214103274346127,0.8241206030150754,0.009433962264150943
baseline_size,Q9,598,598,6,0.0033444816053511705,0.001547810799475987,-0.0017966708058751834,0.004878446338069965,0.0033333452374284187,4.414011048618489e-05,0.0040128800802321256,0.8049496644295302,0.01732332707942464
baseline_size,Q10,598,598,6,0.0,0.0009522730042639463,0.0009522730042639463,0.0009522730042639463,1.0036646100949483e-06,9.940112002047386e-07,0.0009522730042639464,,
