repo,snapshot_tag,snapshot_key,event_observation_id,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,model,score,snapshot_file_count,rank_desc,rank_pct,top10_miss,top25_miss,underprediction_loss,opacity_band
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/urls/resolvers.py,django/urls/resolvers.py,Q2,0.32073290230161045,469.0,6.152732694704104,2.0,.py,baseline_history_plus_structure,0.024635071061276034,674.0,54.0,0.08011869436201781,0,0,0.975364928938724,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/utils/http.py,django/utils/http.py,Q3,0.3336655171011196,401.0,5.996452088619021,2.0,.py,baseline_history_plus_structure,0.028965096571540994,674.0,38.0,0.05637982195845697,0,0,0.971034903428459,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/__init__.py,django/__init__.py,Q8,0.443920844892849,21.0,3.091042453358316,1.0,.py,baseline_history_plus_structure,0.011035022815920652,674.0,142.0,0.21068249258160238,1,0,0.9889649771840794,high
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/utils/html.py,django/utils/html.py,Q4,0.33872798219473427,323.0,5.780743515792329,2.0,.py,baseline_history_plus_structure,0.017890421533251752,674.0,86.0,0.12759643916913946,1,0,0.9821095784667483,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7537:django/utils/text.py,django/utils/text.py,Q3,0.3365916250795484,381.0,5.945420608606575,2.0,.py,baseline_history_plus_structure,0.02356721542097582,674.0,61.0,0.09050445103857567,0,0,0.9764327845790242,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2512|CVE-2017-7233:django/utils/http.py,django/utils/http.py,Q4,0.346825480334329,251.0,5.529429087511423,2.0,.py,baseline_history_plus_structure,0.0387034939209032,661.0,67.0,0.10136157337367625,1,0,0.9612965060790968,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2513:django/contrib/auth/hashers.py,django/contrib/auth/hashers.py,Q1,0.28461979860223463,413.0,6.025865973825314,3.0,.py,baseline_history_plus_structure,0.0375296117138532,661.0,72.0,0.10892586989409984,1,0,0.9624703882861468,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-9013:django/db/backends/oracle/creation.py,django/db/backends/oracle/creation.py,Q1,0.29421191879604086,274.0,5.616771097666572,4.0,.py,baseline_history_plus_structure,0.04172019238025463,661.0,64.0,0.09682299546142209,0,0,0.9582798076197454,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-6186:django/views/debug.py,django/views/debug.py,Q2,0.3107353941973648,1143.0,7.042286171939743,2.0,.py,baseline_history_plus_structure,0.07069314704706835,665.0,12.0,0.01804511278195489,0,0,0.9293068529529317,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-9014:django/http/request.py,django/http/request.py,Q3,0.3281543662241265,469.0,6.152732694704104,2.0,.py,baseline_history_plus_structure,0.03719277790655972,665.0,39.0,0.058646616541353384,0,0,0.9628072220934403,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/__init__.py,django/__init__.py,Q9,0.45449176791561885,19.0,2.995732273553991,1.0,.py,baseline_history_plus_structure,0.007417392164837316,695.0,195.0,0.2805755395683453,1,1,0.9925826078351627,high
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/conf/global_settings.py,django/conf/global_settings.py,Q3,0.32855454120845035,535.0,6.284134161070802,2.0,.py,baseline_history_plus_structure,0.038419428733291155,695.0,20.0,0.02877697841726619,0,0,0.9615805712667088,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/exceptions.py,django/core/exceptions.py,Q3,0.33491853162890545,159.0,5.075173815233827,2.0,.py,baseline_history_plus_structure,0.004820204946725045,695.0,285.0,0.41007194244604317,1,1,0.9951797950532749,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/handlers/exception.py,django/core/handlers/exception.py,Q2,0.31528052328349127,127.0,4.852030263919617,3.0,.py,baseline_history_plus_structure,0.004847201342115882,695.0,282.0,0.40575539568345326,1,1,0.9951527986578841,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/multipartparser.py,django/http/multipartparser.py,Q3,0.3268335475161431,600.0,6.398594934535208,2.0,.py,baseline_history_plus_structure,0.028156258915759555,695.0,36.0,0.051798561151079135,0,0,0.9718437410842404,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/request.py,django/http/request.py,Q1,0.2949329444569393,558.0,6.326149473155099,2.0,.py,baseline_history_plus_structure,0.030719044548724723,695.0,30.0,0.04316546762589928,0,0,0.9692809554512752,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-11168:django/utils/http.py,django/utils/http.py,Q4,0.3374574206605785,391.0,5.971261839790462,2.0,.py,baseline_history_plus_structure,0.020555084440783827,704.0,60.0,0.08522727272727272,0,0,0.9794449155592162,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41989:django/template/defaultfilters.py,django/template/defaultfilters.py,Q1,0.29008121474258275,798.0,6.683360945766275,2.0,.py,baseline_history_plus_structure,0.027649499602855485,704.0,36.0,0.05113636363636364,0,0,0.9723505003971445,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41990|CVE-2024-41991:django/utils/html.py,django/utils/html.py,Q3,0.32923831220454375,353.0,5.869296913133774,2.0,.py,baseline_history_plus_structure,0.014895265734391809,704.0,92.0,0.13068181818181818,1,0,0.9851047342656082,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41991:django/contrib/admin/widgets.py,django/contrib/admin/widgets.py,Q1,0.29177301394149296,499.0,6.214608098422191,3.0,.py,baseline_history_plus_structure,0.022129632899566397,704.0,55.0,0.078125,0,0,0.9778703671004336,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-42005:django/db/models/sql/query.py,django/db/models/sql/query.py,Q2,0.3215903056082635,2466.0,7.810758116529357,4.0,.py,baseline_history_plus_structure,0.07756648092875595,704.0,2.0,0.002840909090909091,0,0,0.922433519071244,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-29622|GHSA-VX57-7F4Q-FPC7:web/web.go,web/web.go,Q2,0.31782939972908575,964.0,6.872128101338986,1.0,.go,baseline_history_plus_structure,0.17827913525210787,285.0,9.0,0.031578947368421054,0,0,0.8217208647478922,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121:prompb/remote.pb.go,prompb/remote.pb.go,Q1,0.27405829218993005,1546.0,7.344072850573066,1.0,.go,baseline_history_plus_structure,0.04782278055723148,285.0,38.0,0.13333333333333333,1,0,0.9521772194427686,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121:prompb/types.pb.go,prompb/types.pb.go,Q1,0.26174715412433563,2233.0,7.711548979629146,1.0,.go,baseline_history_plus_structure,0.05454261714942372,285.0,32.0,0.11228070175438597,1,0,0.9454573828505762,low
prometheus-prometheus,v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0:CVE-2019-10215:web/ui/assets_vfsdata.go,web/ui/assets_vfsdata.go,Q4,0.3395436345297234,643.0,6.467698726104354,2.0,.go,baseline_history_plus_structure,0.21653869443867627,167.0,3.0,0.017964071856287425,0,0,0.7834613055613238,low
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/__version__.py,requests/__version__.py,Q9,0.46636754101951616,13.0,2.6390573296152584,1.0,.py,baseline_history_plus_structure,0.00506521021018492,19.0,14.0,0.7368421052631579,1,1,0.9949347897898151,high
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q3,0.330953577558422,619.0,6.429719478039138,1.0,.py,baseline_history_plus_structure,0.029306956038636974,19.0,4.0,0.21052631578947367,1,0,0.970693043961363,low
psf-requests,v2.28.2,psf-requests:v2.28.2,psf-requests:v2.28.2:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q2,0.30990316152867087,678.0,6.520621127558696,1.0,.py,baseline_history_plus_structure,0.042674420099812656,19.0,1.0,0.05263157894736842,0,0,0.9573255799001873,low
scrapy-scrapy,2.4.0,scrapy-scrapy:2.4.0,scrapy-scrapy:2.4.0:GHSA-9X8M-2XPF-CRP3:scrapy/downloadermiddlewares/httpproxy.py,scrapy/downloadermiddlewares/httpproxy.py,Q7,0.39574266401311936,61.0,4.127134385045092,2.0,.py,baseline_history_plus_structure,0.012209922040866083,151.0,63.0,0.41721854304635764,1,1,0.9877900779591339,high
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/https_test.go,integration/https_test.go,Q1,0.21161687071661436,950.0,6.85751406254539,1.0,.go,baseline_history_plus_structure,0.0644256298470215,459.0,9.0,0.0196078431372549,0,0,0.9355743701529785,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/tcp_test.go,integration/tcp_test.go,Q1,0.2583999213645212,225.0,5.420534999272286,1.0,.go,baseline_history_plus_structure,0.012035644005781462,459.0,109.0,0.2374727668845316,1,0,0.9879643559942185,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router.go,pkg/server/router/router.go,Q3,0.32646635562011156,148.0,5.003946305945459,3.0,.go,baseline_history_plus_structure,0.013203730464077652,459.0,96.0,0.20915032679738563,1,0,0.9867962695359224,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router_test.go,pkg/server/router/router_test.go,Q1,0.22395601754085612,846.0,6.741700694652055,3.0,.go,baseline_history_plus_structure,0.05567500097230734,459.0,12.0,0.026143790849673203,0,0,0.9443249990276926,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/tcp/router.go,pkg/server/router/tcp/router.go,Q4,0.3382552984389795,253.0,5.537334267018537,4.0,.go,baseline_history_plus_structure,0.027057252272911718,459.0,30.0,0.06535947712418301,0,0,0.9729427477270883,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/routerfactory.go,pkg/server/routerfactory.go,Q3,0.33011243214759367,64.0,4.174387269895637,2.0,.go,baseline_history_plus_structure,0.009755424475680572,459.0,132.0,0.2875816993464052,1,1,0.9902445755243194,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/tls/tlsmanager_test.go,pkg/tls/tlsmanager_test.go,Q2,0.3078289858184102,268.0,5.594711379601839,2.0,.go,baseline_history_plus_structure,0.0047788714529291365,459.0,275.0,0.599128540305011,1,1,0.9952211285470709,low
traefik-traefik,v2.9.7,traefik-traefik:v2.9.7,traefik-traefik:v2.9.7:CVE-2024-28869:pkg/config/static/static_config.go,pkg/config/static/static_config.go,Q1,0.28537151445177256,266.0,5.58724865840025,3.0,.go,baseline_history_plus_structure,0.054357303939821924,512.0,6.0,0.01171875,0,0,0.945642696060178,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/urls/resolvers.py,django/urls/resolvers.py,Q2,0.32073290230161045,469.0,6.152732694704104,2.0,.py,baseline_plus_composite,0.02391655672970023,674.0,55.0,0.08160237388724036,0,0,0.9760834432702997,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-14574:django/utils/http.py,django/utils/http.py,Q3,0.3336655171011196,401.0,5.996452088619021,2.0,.py,baseline_plus_composite,0.02683171702766028,674.0,42.0,0.06231454005934718,0,0,0.9731682829723397,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/__init__.py,django/__init__.py,Q8,0.443920844892849,21.0,3.091042453358316,1.0,.py,baseline_plus_composite,0.019358998231063303,674.0,75.0,0.11127596439169139,1,0,0.9806410017689366,high
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7536:django/utils/html.py,django/utils/html.py,Q4,0.33872798219473427,323.0,5.780743515792329,2.0,.py,baseline_plus_composite,0.016647411636148773,674.0,101.0,0.14985163204747776,1,0,0.9833525883638512,low
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:CVE-2018-7537:django/utils/text.py,django/utils/text.py,Q3,0.3365916250795484,381.0,5.945420608606575,2.0,.py,baseline_plus_composite,0.021396789307592878,674.0,66.0,0.09792284866468842,0,0,0.9786032106924071,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2512|CVE-2017-7233:django/utils/http.py,django/utils/http.py,Q4,0.346825480334329,251.0,5.529429087511423,2.0,.py,baseline_plus_composite,0.03616502529485619,661.0,77.0,0.11649016641452345,1,0,0.9638349747051438,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-2513:django/contrib/auth/hashers.py,django/contrib/auth/hashers.py,Q1,0.28461979860223463,413.0,6.025865973825314,3.0,.py,baseline_plus_composite,0.030082621485344595,661.0,103.0,0.15582450832072617,1,0,0.9699173785146554,low
django-django,1.8.1,django-django:1.8.1,django-django:1.8.1:CVE-2016-9013:django/db/backends/oracle/creation.py,django/db/backends/oracle/creation.py,Q1,0.29421191879604086,274.0,5.616771097666572,4.0,.py,baseline_plus_composite,0.038317718623692064,661.0,68.0,0.10287443267776097,1,0,0.961682281376308,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-6186:django/views/debug.py,django/views/debug.py,Q2,0.3107353941973648,1143.0,7.042286171939743,2.0,.py,baseline_plus_composite,0.07892526121667502,665.0,12.0,0.01804511278195489,0,0,0.921074738783325,low
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:CVE-2016-9014:django/http/request.py,django/http/request.py,Q3,0.3281543662241265,469.0,6.152732694704104,2.0,.py,baseline_plus_composite,0.03959066098673745,665.0,36.0,0.05413533834586466,0,0,0.9604093390132625,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/__init__.py,django/__init__.py,Q9,0.45449176791561885,19.0,2.995732273553991,1.0,.py,baseline_plus_composite,0.013074267236983447,695.0,118.0,0.1697841726618705,1,0,0.9869257327630165,high
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/conf/global_settings.py,django/conf/global_settings.py,Q3,0.32855454120845035,535.0,6.284134161070802,2.0,.py,baseline_plus_composite,0.04082664499242717,695.0,17.0,0.02446043165467626,0,0,0.9591733550075728,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/exceptions.py,django/core/exceptions.py,Q3,0.33491853162890545,159.0,5.075173815233827,2.0,.py,baseline_plus_composite,0.004919206398522651,695.0,310.0,0.4460431654676259,1,1,0.9950807936014774,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/core/handlers/exception.py,django/core/handlers/exception.py,Q2,0.31528052328349127,127.0,4.852030263919617,3.0,.py,baseline_plus_composite,0.005041810189681593,695.0,305.0,0.43884892086330934,1,1,0.9949581898103184,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/multipartparser.py,django/http/multipartparser.py,Q3,0.3268335475161431,600.0,6.398594934535208,2.0,.py,baseline_plus_composite,0.02472038863367212,695.0,44.0,0.06330935251798561,0,0,0.9752796113663279,low
django-django,4.0.2,django-django:4.0.2,django-django:4.0.2:CVE-2023-24580:django/http/request.py,django/http/request.py,Q1,0.2949329444569393,558.0,6.326149473155099,2.0,.py,baseline_plus_composite,0.023176532882423478,695.0,50.0,0.07194244604316546,0,0,0.9768234671175765,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-11168:django/utils/http.py,django/utils/http.py,Q4,0.3374574206605785,391.0,5.971261839790462,2.0,.py,baseline_plus_composite,0.018803598467631563,704.0,60.0,0.08522727272727272,0,0,0.9811964015323684,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41989:django/template/defaultfilters.py,django/template/defaultfilters.py,Q1,0.29008121474258275,798.0,6.683360945766275,2.0,.py,baseline_plus_composite,0.0205181128129832,704.0,51.0,0.07244318181818182,0,0,0.9794818871870168,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41990|CVE-2024-41991:django/utils/html.py,django/utils/html.py,Q3,0.32923831220454375,353.0,5.869296913133774,2.0,.py,baseline_plus_composite,0.012754404597493831,704.0,103.0,0.14630681818181818,1,0,0.9872455954025061,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-41991:django/contrib/admin/widgets.py,django/contrib/admin/widgets.py,Q1,0.29177301394149296,499.0,6.214608098422191,3.0,.py,baseline_plus_composite,0.01656105004809396,704.0,75.0,0.10653409090909091,1,0,0.9834389499519061,low
django-django,4.2.4,django-django:4.2.4,django-django:4.2.4:CVE-2024-42005:django/db/models/sql/query.py,django/db/models/sql/query.py,Q2,0.3215903056082635,2466.0,7.810758116529357,4.0,.py,baseline_plus_composite,0.10107364495015841,704.0,2.0,0.002840909090909091,0,0,0.8989263550498416,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-29622|GHSA-VX57-7F4Q-FPC7:web/web.go,web/web.go,Q2,0.31782939972908575,964.0,6.872128101338986,1.0,.go,baseline_plus_composite,0.16740444306820992,285.0,8.0,0.028070175438596492,0,0,0.8325955569317901,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121:prompb/remote.pb.go,prompb/remote.pb.go,Q1,0.27405829218993005,1546.0,7.344072850573066,1.0,.go,baseline_plus_composite,0.03601532587233759,285.0,51.0,0.17894736842105263,1,0,0.9639846741276624,low
prometheus-prometheus,v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1,prometheus-prometheus:v2.20.0-rc.1:CVE-2021-3121:prompb/types.pb.go,prompb/types.pb.go,Q1,0.26174715412433563,2233.0,7.711548979629146,1.0,.go,baseline_plus_composite,0.038571851321979114,285.0,45.0,0.15789473684210525,1,0,0.9614281486780208,low
prometheus-prometheus,v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0,prometheus-prometheus:v2.6.0-rc.0:CVE-2019-10215:web/ui/assets_vfsdata.go,web/ui/assets_vfsdata.go,Q4,0.3395436345297234,643.0,6.467698726104354,2.0,.go,baseline_plus_composite,0.2836518157240988,167.0,1.0,0.005988023952095809,0,0,0.7163481842759012,low
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/__version__.py,requests/__version__.py,Q9,0.46636754101951616,13.0,2.6390573296152584,1.0,.py,baseline_plus_composite,0.00962858527271409,19.0,9.0,0.47368421052631576,1,1,0.990371414727286,high
psf-requests,v2.26.0,psf-requests:v2.26.0,psf-requests:v2.26.0:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q3,0.330953577558422,619.0,6.429719478039138,1.0,.py,baseline_plus_composite,0.03141759634065435,19.0,2.0,0.10526315789473684,1,0,0.9685824036593457,low
psf-requests,v2.28.2,psf-requests:v2.28.2,psf-requests:v2.28.2:CVE-2023-32681:requests/sessions.py,requests/sessions.py,Q2,0.30990316152867087,678.0,6.520621127558696,1.0,.py,baseline_plus_composite,0.037448462554988085,19.0,2.0,0.10526315789473684,1,0,0.9625515374450119,low
scrapy-scrapy,2.4.0,scrapy-scrapy:2.4.0,scrapy-scrapy:2.4.0:GHSA-9X8M-2XPF-CRP3:scrapy/downloadermiddlewares/httpproxy.py,scrapy/downloadermiddlewares/httpproxy.py,Q7,0.39574266401311936,61.0,4.127134385045092,2.0,.py,baseline_plus_composite,0.016424316601862606,151.0,61.0,0.40397350993377484,1,1,0.9835756833981374,high
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/https_test.go,integration/https_test.go,Q1,0.21161687071661436,950.0,6.85751406254539,1.0,.go,baseline_plus_composite,0.04161198020442792,459.0,12.0,0.026143790849673203,0,0,0.9583880197955721,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:integration/tcp_test.go,integration/tcp_test.go,Q1,0.2583999213645212,225.0,5.420534999272286,1.0,.go,baseline_plus_composite,0.01030244224995052,459.0,138.0,0.3006535947712418,1,1,0.9896975577500495,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router.go,pkg/server/router/router.go,Q3,0.32646635562011156,148.0,5.003946305945459,3.0,.go,baseline_plus_composite,0.014404859274093252,459.0,81.0,0.17647058823529413,1,0,0.9855951407259067,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/router_test.go,pkg/server/router/router_test.go,Q1,0.22395601754085612,846.0,6.741700694652055,3.0,.go,baseline_plus_composite,0.03651827130885691,459.0,14.0,0.030501089324618737,0,0,0.9634817286911431,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/router/tcp/router.go,pkg/server/router/tcp/router.go,Q4,0.3382552984389795,253.0,5.537334267018537,4.0,.go,baseline_plus_composite,0.027968339697230556,459.0,21.0,0.0457516339869281,0,0,0.9720316603027694,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/server/routerfactory.go,pkg/server/routerfactory.go,Q3,0.33011243214759367,64.0,4.174387269895637,2.0,.go,baseline_plus_composite,0.01142357377459407,459.0,121.0,0.2636165577342048,1,1,0.988576426225406,low
traefik-traefik,v2.4.9,traefik-traefik:v2.4.9,traefik-traefik:v2.4.9:CVE-2022-46153:pkg/tls/tlsmanager_test.go,pkg/tls/tlsmanager_test.go,Q2,0.3078289858184102,268.0,5.594711379601839,2.0,.go,baseline_plus_composite,0.0046343449732696666,459.0,329.0,0.7167755991285403,1,1,0.9953656550267304,low
traefik-traefik,v2.9.7,traefik-traefik:v2.9.7,traefik-traefik:v2.9.7:CVE-2024-28869:pkg/config/static/static_config.go,pkg/config/static/static_config.go,Q1,0.28537151445177256,266.0,5.58724865840025,3.0,.go,baseline_plus_composite,0.04968361893997628,512.0,5.0,0.009765625,0,0,0.9503163810600237,low
